,TIME,LR1A_T,LR1A_P,LR2A_T,LR2A_P,LR3A_T,LR3A_P,LR4A_T,LR4A_P,LR5A_T,LR5A_P,LR6A_T,LR6A_P,LR7A_T,LR7A_P,LR8A_T,LR8A_P,LR9A_T,LR9A_P,LR10A_T,LR10A_P,LR11A_T,LR11A_P,LR12A_T,LR12A_P,LR13A_T,LR13A_P,LR14A_T,LR14A_P,LR15A_T,LR15A_P,LR16A_T,LR16A_P,LR17A_T,LR17A_P,LR18A_T,LR18A_P,LR19A_T,LR19A_P,LR20A_T,LR20A_P,LR21A_T,LR21A_P,LR22A_T,LR22A_P,LR23A_T,LR23A_P,LR24A_T,LR24A_P,LR25A_T,LR25A_P,LR1B_T,LR1B_P,LR2B_T,LR2B_P,LR3B_T,LR3B_P,LR4B_T,LR4B_P,LR5B_T,LR5B_P,LR6B_T,LR6B_P,LR7B_T,LR7B_P,LR8B_T,LR8B_P,LR9B_T,LR9B_P,LR10B_T,LR10B_P,LR11B_T,LR11B_P,LR12B_T,LR12B_P,LR13B_T,LR13B_P,LR14B_T,LR14B_P,LR15B_T,LR15B_P,LR16B_T,LR16B_P,LR17B_T,LR17B_P,LR18B_T,LR18B_P,LR19B_T,LR19B_P,LR20B_T,LR20B_P,LR21B_T,LR21B_P,LR22B_T,LR22B_P,LR23B_T,LR23B_P,LR24B_T,LR24B_P,LR25B_T,LR25B_P,LSR1_T,LSR1_P,LSR2_T,LSR2_P,LSR3_T,LSR3_P,LSR4_T,LSR4_P,LSR5_T,LSR5_P,LSR6_T,LSR6_P,LSR7_T,LSR7_P,LSR8_T,LSR8_P,LSR9_T,LSR9_P,LSR10_T,LSR10_P,LSR11_T,LSR11_P,LSR12_T,LSR12_P,LSR13_T,LSR13_P,LSR14_T,LSR14_P,LSR15_T,LSR15_P,LSR16_T,LSR16_P,LSR17_T,LSR17_P,LSR18_T,LSR18_P,LSR19_T,LSR19_P,LSR20_T,LSR20_P,LSR21_T,LSR21_P,LSR22_T,LSR22_P,LSR23_T,LSR23_P,LSR24_T,LSR24_P,LSR25_T,LSR25_P,Homogenised_T,Homogenised_P
0,0.5,303.07,101100.99999999999,303.07,101107.00000000001,303.069,101112.0,303.069,101117.00000000001,303.06999999999994,101122.0,303.07,101127.00000000001,303.0690000000001,101132.00000000003,303.069,101137.0,303.069,101142.0,303.068,101147.0,303.068,101153.00000000001,303.069,101158.0,303.068,101162.99999999999,303.068,101168.0,303.068,101173.0,303.067,101178.0,303.067,101182.99999999999,303.067,101188.0,303.067,101193.00000000003,303.06700000000006,101198.0,303.067,101203.0,303.067,101209.0,303.067,101214.00000000001,303.066,101219.0,303.0659999999999,101223.99999999999,303.07,101100.99999999999,303.07,101107.00000000001,303.069,101112.0,303.069,101117.00000000001,303.06999999999994,101122.0,303.07,101127.00000000001,303.0690000000001,101132.00000000003,303.069,101137.0,303.069,101142.0,303.068,101147.0,303.068,101153.00000000001,303.069,101158.0,303.068,101162.99999999999,303.068,101168.0,303.068,101173.0,303.067,101178.0,303.067,101182.99999999999,303.067,101188.0,303.067,101193.00000000003,303.06700000000006,101198.0,303.067,101203.0,303.06700000000006,101209.00000000001,303.066,101214.00000000001,303.066,101219.0,303.0659999999999,101223.99999999999,303.115,101195.0,303.125,101199.00000000003,303.125,101201.99999999999,303.125,101206.0,303.125,101210.00000000003,303.124,101213.99999999997,303.12399999999997,101217.99999999996,303.124,101222.0,303.124,101225.99999999999,303.124,101230.0,303.124,101234.0,303.124,101237.99999999999,303.124,101241.99999999999,303.123,101246.00000000001,303.123,101250.0,303.123,101254.00000000001,303.123,101257.99999999999,303.123,101262.00000000003,303.123,101266.0,303.123,101270.0,303.123,101273.99999999999,303.122,101278.0,303.12200000000007,101282.00000000001,303.122,101286.0,303.122,101289.99999999999,303.1055524935091,101216.87450063463
1,628.746,302.935,100943.0,302.935,100948.00000000001,302.934,100953.00000000001,302.934,100958.0,302.934,100964.00000000003,302.934,100969.00000000001,302.9339999999999,100973.99999999996,302.934,100979.0,302.934,100984.00000000001,302.933,100989.0,302.933,100994.00000000003,302.933,100999.00000000001,302.933,101004.0,302.932,101009.99999999997,302.932,101014.99999999997,302.932,101020.0,302.9319999999999,101024.99999999996,302.932,101030.0,302.93199999999996,101034.99999999999,302.933,101040.0,302.932,101045.00000000001,302.932,101050.0,302.931,101055.99999999999,302.931,101060.99999999999,302.931,101066.0,302.935,100943.0,302.935,100948.00000000001,302.934,100953.00000000001,302.934,100958.0,302.934,100964.00000000003,302.934,100969.00000000001,302.9339999999999,100973.99999999996,302.934,100979.0,302.934,100984.00000000001,302.933,100989.0,302.933,100994.00000000003,302.933,100999.00000000001,302.932,101003.99999999999,302.932,101009.99999999997,302.932,101014.99999999999,302.932,101020.0,302.9319999999999,101024.99999999994,302.932,101030.0,302.932,101034.99999999997,302.932,101039.99999999999,302.932,101045.0,302.932,101050.0,302.932,101055.99999999999,302.932,101061.0,302.931,101066.0,2878.9515222139835,848947.3857091089,1285.7593013834323,412199.00196299644,302.266,100979.00000000003,302.813,100983.00000000001,302.916,100986.99999999997,302.931,100991.0,302.933,100995.0,302.933,100999.0,302.933,101003.0,302.933,101007.00000000001,302.933,101011.0,302.933,101015.00000000001,302.933,101019.0,302.933,101022.99999999999,302.932,101027.00000000001,302.932,101031.0,302.932,101035.0,302.932,101039.0,302.932,101043.0,302.93199999999996,101046.99999999997,302.932,101051.0,302.932,101055.0,302.931,101059.0,302.931,101063.0,302.931,101067.0,302.6003431201577,101015.16596550928
2,1228.75,302.943,100953.00000000001,302.943,100957.99999999999,302.942,100963.0,302.9429999999999,100967.99999999999,302.943,100972.99999999999,302.943,100979.0,302.942,100984.0,302.942,100989.0,302.942,100994.00000000001,302.941,100999.0,302.942,101004.0,302.941,101008.99999999999,302.941,101014.0,302.941,101019.0,302.941,101025.0,302.9409999999998,101029.99999999996,302.941,101034.99999999999,302.941,101040.0,302.94099999999986,101044.99999999997,302.941,101050.0,302.94,101054.99999999999,302.94,101059.99999999997,302.94,101065.00000000003,302.94,101071.0,302.94,101076.00000000001,302.943,100953.00000000001,302.943,100957.99999999999,302.942,100963.0,302.9429999999999,100967.99999999999,302.943,100972.99999999999,302.943,100979.0,302.942,100984.00000000001,302.942,100989.0,302.942,100994.00000000001,302.941,100999.0,302.942,101004.0,302.941,101009.0,302.941,101014.0,302.941,101019.0,302.941,101025.0,302.94,101029.99999999999,302.94000000000005,101035.00000000001,302.94000000000005,101040.00000000001,302.94,101044.99999999999,302.94,101049.99999999999,302.94,101055.0,302.94,101060.0,302.94,101065.00000000001,302.93999999999994,101070.99999999997,302.94,101075.99999999999,3811.59040126516,1057639.2101516305,2479.470124424053,748413.3921120302,1336.0341985775574,427394.0499507752,301.928,100993.00000000001,302.659,100997.00000000001,302.875,101001.0,302.928,101005.0,302.939,101008.99999999999,302.941,101012.99999999999,302.942,101016.99999999999,302.942,101021.00000000003,302.942,101025.00000000001,302.942,101028.99999999999,302.941,101033.00000000001,302.94100000000003,101037.00000000003,302.941,101040.99999999999,302.941,101045.00000000001,302.9409999999999,101048.99999999997,302.941,101053.00000000003,302.941,101057.00000000003,302.941,101061.0,302.94,101064.99999999999,302.94,101069.00000000001,302.94,101073.00000000001,302.94,101077.0,302.2925350174911,101026.07527377583
3,1828.75,302.951,100962.99999999999,302.952,100968.0,302.951,100973.0,302.951,100978.0,302.951,100982.99999999999,302.951,100987.99999999999,302.95,100993.0,302.951,100999.00000000001,302.95099999999996,101003.99999999997,302.9500000000001,101009.00000000003,302.95,101014.0,302.95,101019.0,302.94900000000007,101024.00000000001,302.949,101029.00000000003,302.949,101033.99999999997,302.949,101040.0,302.949,101045.00000000001,302.949,101049.99999999999,302.949,101055.0,302.949,101060.00000000001,302.949,101065.00000000001,302.949,101070.0,302.949,101075.00000000001,302.948,101079.99999999997,302.948,101085.99999999999,302.951,100962.99999999999,302.952,100968.0,302.951,100973.0,302.951,100978.0,302.951,100982.99999999999,302.951,100987.99999999999,302.95,100993.0,302.951,100999.0,302.95099999999996,101003.99999999997,302.95,101009.0,302.95,101014.00000000001,302.95,101019.0,302.949,101023.99999999999,302.949,101029.00000000003,302.949,101034.0,302.949,101040.00000000001,302.949,101044.99999999999,302.949,101049.99999999997,302.94900000000007,101055.00000000004,302.949,101060.00000000001,302.949,101065.00000000001,302.94800000000004,101070.00000000003,302.948,101074.99999999999,302.948,101080.0,302.948,101085.99999999999,4231.975736082049,1138609.1957445247,3334.420430123565,955813.2855136711,2229.824429546288,682435.8486360854,1310.4531173018586,419738.5229114402,301.783,101007.00000000003,302.549,101011.00000000001,302.8299999999999,101014.99999999999,302.918,101019.00000000001,302.943,101022.99999999999,302.948,101027.0,302.95,101031.00000000001,302.95,101034.99999999999,302.95,101039.00000000001,302.95,101043.0,302.95,101047.00000000001,302.94899999999996,101050.99999999999,302.949,101055.0,302.949,101059.0,302.949,101063.0,302.94899999999996,101066.99999999997,302.949,101071.0,302.949,101074.99999999999,302.949,101079.0,302.948,101083.0,302.94800000000004,101087.00000000001,301.98501170911794,101037.00865772896
4,2428.75,302.96,100973.0,302.96,100978.0,302.95899999999995,100982.99999999996,302.959,100988.00000000003,302.959,100993.00000000001,302.96,100997.99999999999,302.959,101003.0,302.959,101008.0,302.959,101014.0,302.958,101019.0,302.958,101023.99999999997,302.958,101029.0,302.958,101034.0,302.958,101039.0,302.957,101043.99999999999,302.95699999999994,101048.99999999997,302.957,101054.0,302.957,101059.99999999997,302.957,101064.99999999999,302.95700000000005,101070.00000000003,302.957,101075.0,302.957,101080.0,302.957,101085.00000000003,302.957,101090.00000000001,302.95700000000005,101095.00000000001,302.96,100973.0,302.96,100978.0,302.95899999999995,100982.99999999996,302.959,100988.00000000003,302.959,100993.00000000001,302.96,100997.99999999999,302.959,101003.0,302.959,101008.00000000001,302.959,101014.0,302.958,101019.0,302.958,101023.99999999997,302.958,101029.0,302.95799999999997,101033.99999999999,302.95700000000005,101039.00000000003,302.957,101044.00000000001,302.957,101049.00000000001,302.957,101054.0,302.957,101059.99999999997,302.957,101065.00000000001,302.957,101070.0,302.957,101075.00000000001,302.957,101080.0,302.957,101084.99999999999,302.957,101090.00000000001,302.957,101094.99999999999,4429.27478742076,1173620.2144248108,3873.1915583217733,1070248.114572674,2993.289647298825,876818.2774967779,2042.4097652378512,631375.4353736585,1265.4470630106991,406188.19820534927,301.732,101021.00000000001,302.48,101024.99999999999,302.793,101029.00000000001,302.907,101032.99999999999,302.944,101037.0,302.955,101041.00000000001,302.95799999999997,101044.99999999996,302.95799999999997,101049.0,302.958,101053.00000000003,302.9580000000001,101057.00000000001,302.958,101061.0,302.95799999999997,101064.99999999999,302.958,101069.00000000001,302.958,101073.0,302.95699999999994,101076.99999999999,302.95699999999994,101079.99999999999,302.957,101084.00000000001,302.957,101088.0,302.95699999999994,101091.99999999999,302.956,101096.0,301.6780366289298,101047.83514367856
5,3028.75,302.968,100982.99999999999,302.968,100987.99999999999,302.968,100993.0,302.96799999999996,100997.99999999996,302.968,101003.0,302.968,101007.99999999999,302.967,101013.00000000001,302.967,101018.0,302.967,101023.0,302.967,101029.00000000003,302.967,101033.99999999999,302.9660000000001,101039.00000000007,302.966,101044.00000000001,302.966,101049.0,302.966,101054.0,302.966,101058.99999999999,302.966,101063.99999999999,302.966,101068.99999999999,302.966,101075.0,302.966,101080.00000000003,302.966,101085.00000000001,302.966,101090.0,302.966,101095.0,302.965,101100.0,302.965,101105.0,302.968,100982.99999999999,302.968,100987.99999999999,302.968,100993.0,302.96799999999996,100997.99999999996,302.968,101003.0,302.968,101007.99999999999,302.967,101013.00000000001,302.967,101017.99999999999,302.967,101023.0,302.967,101029.00000000003,302.967,101034.0,302.967,101038.99999999999,302.966,101044.00000000001,302.966,101049.00000000001,302.966,101054.0,302.966,101058.99999999997,302.966,101064.0,302.965,101069.00000000001,302.96500000000003,101075.00000000004,302.965,101080.0,302.965,101085.0,302.965,101090.0,302.966,101095.00000000003,302.965,101100.0,302.965,101105.0,4523.582895894999,1189706.8062966121,4194.322418453844,1131959.9498779334,3561.29833086213,1005779.2186984128,2727.236437156749,811821.6630262247,1890.3516717182185,589006.07415646,1215.1575828120808,390962.98963395355,301.73,101035.00000000001,302.441,101039.0,302.766,101043.00000000003,302.897,101047.00000000003,302.94500000000005,101051.0,302.96,101055.0,302.96499999999986,101058.99999999999,302.966,101063.00000000003,302.9669999999999,101066.0,302.967,101070.00000000001,302.966,101074.00000000001,302.96599999999995,101078.00000000001,302.966,101081.99999999999,302.96599999999995,101086.0,302.966,101090.0,302.966,101094.00000000001,302.966,101098.0,302.965,101102.0,302.965,101106.0,301.37165055367655,101058.65047779623
6,3628.75,302.977,100991.99999999999,302.97700000000003,100997.00000000003,302.976,101003.0,302.976,101008.0,302.976,101012.99999999999,302.976,101017.99999999999,302.976,101022.99999999997,302.976,101028.0,302.976,101032.99999999996,302.975,101038.00000000001,302.975,101044.00000000001,302.975,101049.0,302.974,101054.0,302.97400000000005,101059.00000000003,302.974,101064.00000000001,302.974,101069.0,302.974,101074.0,302.97399999999993,101078.99999999999,302.974,101084.0,302.974,101089.99999999997,302.974,101094.99999999999,302.974,101100.0,302.97400000000005,101105.00000000003,302.974,101110.00000000001,302.973,101115.0,302.977,100991.99999999999,302.97700000000003,100997.00000000003,302.976,101003.0,302.976,101008.0,302.976,101012.99999999999,302.976,101017.99999999999,302.976,101022.99999999997,302.976,101028.0,302.976,101033.0,302.975,101038.00000000001,302.97499999999997,101044.0,302.975,101048.99999999999,302.974,101053.99999999999,302.974,101058.99999999997,302.974,101064.0,302.974,101069.0,302.974,101074.0,302.97399999999993,101078.99999999996,302.974,101084.0,302.974,101090.00000000001,302.974,101095.0,302.974,101100.0,302.974,101104.99999999999,302.974,101110.0,302.974,101114.99999999996,4569.046277734006,1197361.7444347825,4379.802328553026,1165301.5617297199,3952.1174750758537,1086066.0230380641,3290.986491720627,946307.8331616187,2509.081017617204,756398.4876877137,1761.7077651629115,552524.8410104004,1164.4192232997323,375517.42277098884,301.756,101049.0,302.423,101053.0,302.748,101056.00000000001,302.889,101060.00000000003,302.945,101064.0,302.966,101068.0,302.972,101072.0,302.974,101075.99999999997,302.975,101080.0,302.975,101084.0,302.975,101088.00000000001,302.9750000000001,101092.00000000003,302.974,101096.0,302.974,101100.0,302.974,101103.99999999999,302.974,101108.0,302.973,101112.0,302.973,101116.0,301.0656803045727,101069.50691752779
7,4228.75,302.985,101002.00000000001,302.985,101007.0,302.985,101011.99999999999,302.985,101017.99999999999,302.985,101023.00000000001,302.985,101027.99999999999,302.984,101033.0,302.984,101037.99999999999,302.984,101043.0,302.9839999999999,101047.99999999997,302.984,101053.0,302.983,101058.00000000003,302.983,101064.0,302.982,101068.99999999999,302.982,101074.00000000001,302.982,101079.00000000001,302.982,101084.0,302.983,101088.99999999999,302.983,101094.0,302.983,101099.00000000003,302.983,101105.00000000003,302.98300000000006,101110.00000000001,302.983,101115.00000000001,302.982,101120.00000000001,302.982,101125.0,302.985,101002.00000000001,302.985,101007.0,302.985,101012.0,302.985,101017.99999999999,302.985,101023.0,302.985,101027.99999999999,302.984,101032.99999999996,302.984,101037.99999999999,302.984,101043.0,302.9839999999999,101047.99999999994,302.984,101053.0,302.983,101058.00000000001,302.983,101064.0,302.982,101069.0,302.982,101074.00000000003,302.982,101079.00000000001,302.982,101084.0,302.982,101089.0,302.982,101094.0,302.982,101099.0,302.982,101105.00000000001,302.983,101110.00000000003,302.983,101115.0,302.982,101120.00000000001,302.982,101124.99999999999,4591.0552954056975,1201095.0903622312,4484.635632727061,1183417.2672671943,4207.989898038789,1134687.9523306796,3718.3489669334463,1039073.1537438426,3054.6232453888097,891670.5094241573,2324.369298291092,708022.1733966395,1650.0250525627341,520388.9628307164,1115.122327564885,360430.670564695,301.7970000000001,101063.00000000006,302.42,101066.0,302.738,101069.99999999999,302.884,101074.00000000001,302.946,101078.00000000001,302.971,101082.0,302.979,101086.00000000003,302.98199999999997,101089.99999999999,302.983,101094.0,302.983,101098.00000000001,302.983,101102.0,302.983,101106.00000000003,302.983,101110.00000000001,302.98299999999995,101113.99999999999,302.983,101118.00000000001,302.982,101121.99999999997,302.98199999999997,101126.0,1054.736845114549,340141.5143694806
8,4828.75,302.994,101012.0,302.994,101017.0,302.993,101022.00000000001,302.993,101027.00000000001,302.993,101033.00000000001,302.993,101037.99999999999,302.993,101043.00000000003,302.993,101047.99999999999,302.993,101053.0,302.9919999999999,101057.99999999997,302.992,101063.00000000001,302.991,101068.0,302.991,101072.99999999999,302.991,101079.00000000003,302.991,101084.00000000003,302.991,101089.0,302.991,101094.0,302.991,101099.0,302.991,101104.00000000001,302.991,101109.0,302.991,101114.00000000001,302.991,101120.00000000001,302.9910000000001,101125.00000000006,302.991,101129.99999999999,302.99,101135.0,302.994,101012.0,302.994,101017.0,302.993,101022.00000000003,302.993,101027.0,302.993,101033.0,302.993,101037.99999999999,302.99300000000005,101043.00000000004,302.993,101047.99999999999,302.99300000000005,101053.00000000001,302.992,101058.0,302.992,101063.00000000001,302.9920000000001,101068.00000000004,302.991,101072.99999999997,302.991,101079.00000000003,302.991,101084.00000000003,302.99099999999993,101088.99999999997,302.991,101094.0,302.991,101099.0,302.991,101104.00000000001,302.991,101109.0,302.991,101114.00000000001,302.991,101120.00000000001,302.991,101124.99999999999,302.991,101129.99999999999,302.9900000000001,101135.00000000003,4601.7307314439795,1202965.782893536,4542.898052955374,1193293.2721257808,4369.72204779493,1163767.5209950756,4024.487186358018,1100327.3001505127,3498.2894336296495,992482.8243935796,2845.8565347760273,841453.0466065719,2164.491508572915,665096.4877476983,1551.373271847047,491646.91622007434,1068.0283562628729,345947.76048530644,301.847,101076.0,302.427,101080.00000000001,302.73400000000004,101084.00000000004,302.882,101088.00000000003,302.948,101091.99999999999,302.976,101096.0,302.986,101100.0,302.99,101104.0,302.991,101108.00000000001,302.99099999999993,101111.99999999999,302.99099999999993,101115.99999999997,302.99099999999993,101119.99999999997,302.991,101123.99999999999,302.99100000000004,101128.00000000001,302.99000000000007,101132.00000000001,302.99,101136.0,1155.349259110611,370968.77952098066
9,5428.75,303.002,101022.00000000001,303.002,101027.00000000001,303.001,101032.00000000001,303.002,101037.00000000001,303.002,101042.0,303.002,101048.0,303.001,101053.0,303.001,101058.0,303.001,101062.99999999999,303.0009999999999,101067.99999999999,303.0,101073.00000000001,303.0,101078.0,302.999,101083.00000000001,302.99899999999997,101087.99999999999,302.999,101093.99999999999,302.999,101099.0,302.999,101104.0,303.0,101109.0,303.0,101114.00000000003,303.0,101119.0,302.99999999999994,101123.99999999996,303.0,101128.99999999997,303.0,101135.0,302.999,101140.0,302.999,101145.00000000001,303.002,101022.00000000001,303.002,101027.00000000001,303.001,101031.99999999997,303.002,101037.00000000001,303.002,101042.0,303.002,101048.0,303.001,101053.0,303.001,101058.0,303.001,101062.99999999999,303.001,101068.00000000001,303.0,101073.00000000001,303.0,101078.0,302.999,101083.00000000001,302.999,101088.00000000003,302.999,101093.99999999999,302.999,101099.0,302.999,101104.0,302.9990000000001,101109.00000000001,302.999,101114.0,302.999,101119.0,302.999,101124.00000000003,302.999,101129.00000000001,303.0,101135.0,302.999,101140.0,302.999,101145.00000000001,4606.917299199556,1203940.5464929515,4574.834421457024,1198688.6297309,4469.216696043262,1181038.858237997,4234.85323005488,1139811.509586825,3838.5200983815153,1063821.9221199504,3293.2585829889676,947105.3546119584,2659.7769413819624,795185.0566168723,2023.889394446476,626568.8146083339,1463.151206948687,465668.08556484873,300.995,101086.0,301.902,101090.00000000001,302.441,101094.00000000004,302.735,101098.00000000001,302.883,101102.0,302.951,101106.0,302.981,101109.99999999999,302.993,101114.0,302.998,101118.0,302.99899999999997,101121.99999999999,303.0,101126.0,302.99999999999994,101129.99999999999,302.9999999999999,101133.99999999997,302.99999999999994,101138.0,302.99899999999997,101142.00000000001,302.99899999999997,101146.0,1254.2491869993307,400966.9469164483
